"sample"	"k"	"n0"	"r"	"t_mid"	"t_gen"	"auc_l"	"auc_e"	"sigma"	"note"
"1"	"Rel606_01"	0.72069982645329	0.0165243324482514	1.20527437170408	3.11314477930689	0.575094930111172	15.0392833017449	15.119	0.0832367876544876	""
"2"	"Rel606_02"	0.728221078214711	0.0122020567280617	1.30258446974674	3.12617131994812	0.532132231466506	15.1913151093623	15.2595	0.101141805633642	""
"3"	"Rel606_03"	0.742522800160991	0.0169025039142755	1.17639397950887	3.19583843848898	0.589213471535552	15.4330301742707	15.5125	0.0993056975151984	""
"4"	"Rel606_04"	0.729858943841657	0.017142862009541	1.16287574817012	3.20541662955883	0.596062977193109	15.1621949868922	15.22	0.0986772582185098	""
"5"	"Rel606_05"	0.721049030722703	0.015820929441861	1.17998726693386	3.21799030644228	0.587419203565692	14.9712909533936	15.0235	0.100100737957948	""
"6"	"Rel606_06"	0.74502012555537	0.0181724872775974	1.15799950183714	3.18550060813729	0.598572952285628	15.4913333811731	15.5465	0.102263972604494	""
"7"	"Rel606_07"	0.725708202509675	0.0173530661805642	1.17107468971268	3.16732689179991	0.591889814244046	15.1034436402431	15.1635	0.100310847761216	""
"8"	"Rel606_08"	0.710351688201447	0.0157339874537966	1.21051275312225	3.12887116230057	0.572606260257997	14.8126977092562	14.872	0.0994464396267887	""
"9"	"Rel606_09"	0.726074534218298	0.0177200166409272	1.17910988404314	3.12799499439662	0.587856305794979	15.1394165886975	15.1945	0.0964133721483548	""
"10"	"Rel606_10"	0.729274529837014	0.0164987536322002	1.20475440344424	3.12585041416073	0.575343139297377	15.2091336356077	15.27	0.0981050764720011	""
"11"	"CH6138_01"	0.723970505235998	0.0122186550349413	1.061722590072	3.82846280054175	0.652851495335463	14.5919914255955	14.6605	0.0871135787094544	""
"12"	"CH6138_02"	0.810222631407842	0.0157195376627536	1.0218949288671	3.83876305998324	0.678295939219882	16.3195565329558	16.3895	0.0943588219336836	""
"13"	"CH6138_03"	0.814148613370263	0.0152092275774417	1.02825440673596	3.85253175987607	0.674100860661744	16.3881021219542	16.46	0.0966710699390208	""
"14"	"CH6138_04"	0.822866335517471	0.0163870827372946	1.02560891726067	3.79889909315644	0.675839658659844	16.6066667332022	16.6805	0.0969739395402661	""
"15"	"CH6138_05"	0.807034197955391	0.014074306082909	1.05047950969799	3.83769672231101	0.659838839464105	16.2581520690066	16.328	0.0982261045482115	""
"16"	"CH6138_06"	0.814865800883726	0.0162165518556318	1.02211145616797	3.81258755911232	0.678152246877893	16.4340062753392	16.506	0.0964681530305715	""
"17"	"CH6138_07"	0.82125228370775	0.0163937415859833	1.02192639678397	3.81022243751725	0.678275052627372	16.5646966585814	16.638	0.0982753269609629	""
"18"	"CH6138_08"	0.803473629792911	0.014924573110397	1.04416430468766	3.7993882239634	0.663829607513046	16.2162311328487	16.292	0.0973271506641895	""
"19"	"CH6138_09"	0.835889294005335	0.0176597799081543	1.00200518872254	3.82817692725988	0.691760071066736	16.8435976710195	16.919	0.0977588040367286	""
"20"	"CH6138_10"	0.829780763732622	0.0171718924882154	1.00199294336899	3.84930456513129	0.691768525065038	16.7033418993542	16.7745	0.0928621225562074	""
"21"	"CH6139_01"	0.756891890485061	0.00541072555858995	1.37250437053716	3.59464279551653	0.505023659989269	15.4406930039923	15.55444	0.116431041478977	""
"22"	"CH6139_02"	0.770965614338728	0.00480868144111096	1.37547331373306	3.68670482625238	0.503933572276098	15.6573451251669	15.764	0.1284489248752	""
"23"	"CH6139_03"	0.800002175234992	0.00505517876844506	1.34946279534862	3.74805607255673	0.513646751099113	16.1978412414412	16.311	0.140924216327771	""
"24"	"CH6139_04"	0.791823382720443	0.00528844969161987	1.35080853097549	3.70305034626175	0.513135033326587	16.0676711759536	16.195	0.146277344985393	""
"25"	"CH6139_05"	0.792862990354713	0.0054819132836026	1.31857727926441	3.76713465702645	0.525678086116143	16.0377182346576	16.1375	0.131500138662259	""
"26"	"CH6139_06"	0.803941162157123	0.00515920431633723	1.36867689481473	3.68407304051655	0.506435947874881	16.3290282999672	16.438	0.142418462396199	""
"27"	"CH6139_07"	0.801773074286877	0.00486648867036827	1.37237875005788	3.71498378228523	0.505069887252852	16.260422985013	16.371	0.138339448062869	""
"28"	"CH6139_08"	0.794016286987309	0.00520210342231503	1.37536188425456	3.6510156299354	0.50397440011625	16.1536302163326	16.25	0.111009139035443	""
"29"	"CH6139_09"	0.79847864629632	0.00483558835292158	1.39398861676079	3.65901912104581	0.497240201408968	16.2383594436318	16.344	0.108637680269053	""
"30"	"CH6139_10"	0.785377573668509	0.00558086162045274	1.34091130378129	3.68383059301942	0.516922468029995	15.9516869855643	16.059	0.0928618672040518	""
"31"	"CH6556_01"	0.972400597635212	0.00779834520571748	0.798249306093941	6.03546316654381	0.868334209962185	17.4589183794758	17.5405	0.0918615938210408	""
"32"	"CH6556_02"	0.989967423511432	0.00704194603968535	0.817247977149951	6.0430235203672	0.848147930542708	17.7681748019974	17.871	0.0935691424726097	""
"33"	"CH6556_03"	0.977571625497196	0.00610087039963638	0.845976865908326	5.99352053276531	0.819345313675585	17.5953894569593	17.692	0.0923262964820891	""
"34"	"CH6556_04"	0.979097422831204	0.00695798399568062	0.820273270342663	6.02190715187551	0.845019831342777	17.593792041585	17.6885	0.0934094255446978	""
"35"	"CH6556_05"	0.982141964978793	0.00547356576131137	0.861801104503911	6.01556076014562	0.804300640759738	17.6569036316794	17.765	0.0880634240280294	""
"36"	"CH6556_06"	0.989950830761739	0.0058094187168087	0.854998628766872	6.00268691476155	0.810699756980478	17.8096406127103	17.9155	0.0867876515359946	""
"37"	"CH6556_07"	0.965993604874186	0.00633711757010237	0.840135060689132	5.97540991499124	0.825042559218255	17.4040712322277	17.501	0.0884870497037252	""
"38"	"CH6556_08"	0.97508442790489	0.00513232497992053	0.882292569462397	5.94098613577945	0.785620557795581	17.6032309397756	17.7175	0.0885513169511868	""
"39"	"CH6556_09"	0.936423902268494	0.00365014471675575	0.939391826811306	5.90104758074979	0.737868012874649	16.9443984547476	17.068	0.0840220390184517	""
"40"	"CH6556_10"	0.906094610988637	0.00243234089395754	1.02062429611325	5.79802145961235	0.67914038809344	16.4903282785943	16.6275	0.075156558858051	""
"41"	"CH6585_01"	0.781465167179369	0.00651036782683451	1.04291346399932	4.58274719118719	0.664625785826847	15.1676380839654	15.2125	0.0890757462149252	""
"42"	"CH6585_02"	0.865905975746415	0.00855863418505791	0.977596988343153	4.71247617493472	0.709031624304308	16.6923838224852	16.732	0.0954403283411845	""
"43"	"CH6585_03"	0.860262061217568	0.00758250189853188	1.00986639579232	4.67640137592364	0.686375131847139	16.6158170784848	16.657	0.0956375667668441	""
"44"	"CH6585_04"	0.870968888067293	0.00832506376043369	0.98279167851551	4.72198869254263	0.705283933220652	16.7820365016594	16.827	0.0968903672333246	""
"45"	"CH6585_05"	0.850005614972267	0.00736739344560582	1.03323954985959	4.58700379578916	0.670848479090973	16.4939943149862	16.5435	0.0958822859556451	""
"46"	"CH6585_06"	0.862970683313437	0.00731844759154912	1.03116549714085	4.61755732934331	0.672197801887144	16.7193522740285	16.766	0.0979334290055182	""
"47"	"CH6585_07"	0.840006107423833	0.00671846789563527	1.0577801254802	4.55720299065955	0.655284745726601	16.3256912193257	16.3775	0.0967422971317729	""
"48"	"CH6585_08"	0.840017976442893	0.0072247440302266	1.04363841329307	4.54877237697117	0.66416411252323	16.332428276282	16.388	0.0950460503528034	""
"49"	"CH6585_09"	0.853451944560201	0.00739747646482574	1.03273505527074	4.58921655912929	0.671176190855871	16.5589766553087	16.602	0.0933642106575254	""
"50"	"CH6585_10"	0.843761885729972	0.00793804645382694	1.03791322021266	4.48664741444503	0.667827682566682	16.4569388892719	16.5105	0.091907450921366	""
