nestedGenotype	unnestedGenotype	scoreGreater	scoreFixed	scoreArea	scoreDerivative	totalScore
genotype-1	genotype-5	0.0	1	2	0	3.0
genotype-5	genotype-6	1.0	1	2	0	4.0
genotype-1	genotype-6	1.0	1	2	0	4.0
genotype-6	genotype-7	1.0	1	2	0	4.0
genotype-5	genotype-7	1.0	1	2	0	4.0
genotype-1	genotype-7	1.0	1	2	0	4.0
genotype-7	genotype-8	-1.0	0	-2	0	-3.0
genotype-6	genotype-8	1.0	1	0	2	4.0
genotype-5	genotype-8	1.0	1	2	0	4.0
genotype-1	genotype-8	1.0	1	2	0	4.0
genotype-8	genotype-2	1.0	0	0	0	1.0
genotype-7	genotype-2	-1.0	0	0	0	-1.0
genotype-6	genotype-2	1.0	0	0	0	1.0
genotype-5	genotype-2	1.0	0	2	0	3.0
genotype-1	genotype-2	1.0	0	2	0	3.0
genotype-2	genotype-3	0.0	0	0	0	0.0
genotype-8	genotype-3	0.0	0	0	0	0.0
genotype-7	genotype-3	-1.0	0	-2	0	-3.0
genotype-6	genotype-3	0.0	0	0	0	0.0
genotype-5	genotype-3	1.0	1	2	0	4.0
genotype-1	genotype-3	1.0	1	2	0	4.0
genotype-3	genotype-4	1.0	0	0	0	1.0
genotype-2	genotype-4	-1.0	0	-2	0	-3.0
genotype-8	genotype-4	1.0	0	0	0	1.0
genotype-7	genotype-4	-1.0	0	-2	0	-3.0
genotype-6	genotype-4	1.0	0	0	0	1.0
genotype-5	genotype-4	1.0	0	2	0	3.0
genotype-1	genotype-4	1.0	0	2	0	3.0
