Identity	Generation	Population
genotype-1	0	0.0
genotype-1	500	7.100000000000007
genotype-1	1000	1.0
genotype-1	1500	1.0
genotype-1	2000	1.0
genotype-1	2500	1.0
genotype-1	3000	1.0
genotype-5	0	0.0
genotype-5	500	92.89999999999999
genotype-5	1000	79.0
genotype-5	1500	63.6
genotype-5	2000	39.800000000000004
genotype-5	2500	1.0
genotype-5	3000	1.0
genotype-6	0	0.0
genotype-6	500	0.0
genotype-6	1000	21.0
genotype-6	1500	3.8000000000000007
genotype-6	2000	15.699999999999998
genotype-6	2500	1.0
genotype-6	3000	1.0
genotype-7	0	0.0
genotype-7	500	0.0
genotype-7	1000	0.0
genotype-7	1500	0.0
genotype-7	2000	0.0
genotype-7	2500	100.0
genotype-7	3000	100.0
genotype-8	0	0.0
genotype-8	500	0.0
genotype-8	1000	0.0
genotype-8	1500	12.0
genotype-8	2000	44.5
genotype-8	2500	0.0
genotype-8	3000	0.0
genotype-2	0	0.0
genotype-2	500	0.0
genotype-2	1000	0.0
genotype-2	1500	0.0
genotype-2	2000	41.1
genotype-2	2500	0.0
genotype-2	3000	0.0
genotype-3	0	0.0
genotype-3	500	0.0
genotype-3	1000	17.6
genotype-3	1500	36.4
genotype-3	2000	25.900000000000002
genotype-3	2500	0.0
genotype-3	3000	0.0
genotype-4	0	0.0
genotype-4	500	0.0
genotype-4	1000	0.0
genotype-4	1500	25.0
genotype-4	2000	0.0
genotype-4	2500	0.0
genotype-4	3000	0.0
genotype-0	0	100.0
genotype-0	500	0.0
genotype-0	1000	0.0
genotype-0	1500	0.0
genotype-0	2000	0.0
genotype-0	2500	0.0
genotype-0	3000	0.0
