 Position(mm),Ancestor_01_T1,Ancestor_02_T1,Ancestor_03_T1,Ancestor_01_T2,Ancestor_02_T2,Ancestor_03_T2,Evolved_01_T1,Evolved_02_T1,Evolved_03_T1,Evolved_01_T2,Evolved_02_T2,Evolved_03_T2,,,,
0,0.352153,0.524898,0.39911,0.32887,0.342876,0.452787,0.309611,0.422031,0.453128,0.372656,0.54562,0.534001,,,,
0.1,1.477953,1.219777,2.740524,0.902938,0.764702,1.057623,1.549983,2.755956,1.842706,0.728214,0.313022,0.260038,,,,
0.17,2.036352,1.9617,3.461545,2.18524,0.652809,0.502421,3.413374,3.708348,3.444639,2.675528,0.350844,0.297313,,T1=Trial 1,,
0.27,2.03732,1.959929,3.46381,2.18944,0.35167,1.101624,3.412654,3.709883,3.446911,2.673996,0.361156,0.295744,,T2=Trial 2,,
0.36,2.041193,1.964919,3.467203,2.192334,0.350491,0.62914,3.416556,3.713704,3.45464,2.673292,2.281081,2.257026,,,,
0.46,2.046579,1.964434,3.469888,2.197071,0.349589,0.497191,3.422583,3.718434,3.459263,2.677399,2.455535,3.09723,,,,
0.55,2.051992,1.962318,3.480782,2.201373,0.634406,0.659028,3.432217,3.725982,3.46291,2.687335,2.460932,3.101622,,,,
0.65,2.058662,1.962697,3.502827,2.207673,0.363575,0.506751,3.445983,3.735982,3.473547,2.698365,2.456047,3.103461,,,,
0.75,2.06777,1.968801,3.525107,2.215009,0.359125,0.442907,3.46005,3.751695,3.489124,2.706987,2.460424,3.102843,,,,
0.84,2.077283,1.975399,3.547969,2.221406,0.356781,0.552492,3.477459,3.769808,3.507909,2.720107,2.465927,3.107492,,,,
0.94,2.088715,1.982851,3.563919,2.226917,0.3557,0.447511,3.497234,3.786327,3.527241,2.737126,2.477098,3.115634,,,,
1.04,2.103321,1.992708,3.593182,2.231356,0.632599,0.419708,3.523387,3.806755,3.551673,2.762769,2.486138,3.120178,,,,
1.13,2.122694,2.004786,3.63016,2.236917,0.339196,1.514388,3.538186,3.825156,3.57823,2.798142,2.499861,3.134155,,,,
1.23,2.139134,2.0196,3.666652,2.24555,0.345851,0.604217,3.559512,3.850376,3.604234,2.844029,2.522348,3.138566,,,,
1.33,2.160794,2.039204,3.706836,2.256079,0.343474,0.430825,3.585153,3.881188,3.63506,2.89469,2.543898,3.148423,,,,
1.42,2.182522,2.059353,3.748564,2.263853,0.341947,1.448884,3.614678,3.909208,3.675623,2.957216,2.568557,3.154532,,,,
1.52,2.209508,2.080138,3.795788,2.276947,0.339772,0.776882,3.637436,3.942952,3.715124,3.017274,2.598842,3.168201,,,,
1.62,2.240006,2.102399,3.852709,2.3019,0.560758,0.561011,3.668098,3.976816,3.760323,3.076867,2.644636,3.177656,,,,
1.71,2.27591,2.131061,3.901012,2.328966,0.366248,1.150146,3.704375,4.017689,3.808566,3.145451,2.696386,3.188386,,,,
1.81,2.317381,2.164017,3.954904,2.364147,0.364715,1.207742,3.74599,4.059051,3.865326,3.214782,2.752748,3.204891,,,,
1.91,2.365095,2.198495,4.0112,2.406948,0.361991,1.689449,3.786552,4.10319,3.919649,3.285118,2.80872,3.218579,,,,
2,2.410803,2.240907,4.067882,2.443612,0.360316,2.260518,3.830714,4.148988,3.971719,3.35522,2.877268,3.235756,,,,
2.1,2.462984,2.289617,4.12256,2.492488,0.358808,2.460039,3.877318,4.193842,4.029264,3.437801,2.936425,3.254862,,,,
2.19,2.519333,2.33545,4.185796,2.56027,0.357616,2.399425,3.922135,4.23748,4.086019,3.532354,2.999468,3.283626,,,,
