FlowCell Text Data File: 85.3.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-15
Time: 15:25:34
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 869233
Source A Zero: 344722.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
713990.067, 334312.600, -0.50, 0.373750, , 
713979.500, 334313.067, -0.40, 0.373787, , 
713395.533, 334299.267, -0.30, 0.375535, , 
657306.233, 334292.900, -0.20, 0.559771, , 
138963.467, 334289.967, -0.10, 4.056791, , 
657306.233, 334292.900, 0.00, 0.559771, , 
138963.467, 334289.967, 0.10, 4.056791, , 
140286.233, 334228.233, 0.19, 4.035055, , 
139992.967, 334243.367, 0.29, 4.039866, , 
139638.433, 334398.833, 0.39, 4.046619, , 
139188.567, 334275.900, 0.49, 4.053054, , 
138529.733, 334200.967, 0.59, 4.063227, , 
137276.600, 334323.600, 0.69, 4.084502, , 
135789.967, 334256.267, 0.78, 4.108553, , 
134384.800, 334100.800, 0.89, 4.130915, , 
132619.800, 334185.300, 0.98, 4.161237, , 
130917.833, 334317.000, 1.08, 4.191191, , 
128714.933, 334432.167, 1.18, 4.230156, , 
126326.033, 334267.100, 1.28, 4.271204, , 
123715.567, 334284.033, 1.38, 4.318310, , 
120538.900, 334299.867, 1.48, 4.376956, , 
117052.167, 334353.333, 1.58, 4.443373, , 
113850.200, 334375.867, 1.68, 4.505943, , 
110465.600, 334469.967, 1.78, 4.574493, , 
107189.633, 334410.433, 1.88, 4.641841, , 
103664.067, 334247.500, 1.98, 4.716007, , 
100311.600, 334275.800, 2.08, 4.790179, , 
96682.867, 334378.833, 2.18, 4.873790, , 
93266.233, 334407.167, 2.27, 4.954947, , 
89888.967, 334380.367, 2.38, 5.037770, , 
86754.300, 334421.133, 2.48, 5.117924, , 
84112.133, 334353.300, 2.57, 5.187071, , 
81142.233, 334512.800, 2.67, 5.269042, , 
78882.867, 334384.633, 2.78, 5.331730, , 
77035.233, 334399.200, 2.87, 5.385166, , 
75508.367, 334507.233, 2.97, 5.430946, , 
74638.933, 334493.467, 3.07, 5.456916, , 
74114.233, 334468.667, 3.17, 5.472625, , 
73615.633, 334386.267, 3.27, 5.487261, , 
73663.467, 334409.100, 3.37, 5.485953, , 
73929.700, 334598.333, 3.47, 5.479108, , 
74781.267, 334519.033, 3.57, 5.452800, , 
76074.233, 334665.133, 3.67, 5.415206, , 
77941.167, 334477.300, 3.77, 5.359381, , 
80439.167, 334586.667, 3.87, 5.289123, , 
83807.833, 334490.500, 3.97, 5.196151, , 
87747.167, 334509.633, 4.06, 5.092910, , 
92415.333, 334535.700, 4.17, 4.976438, , 
97674.567, 334487.300, 4.27, 4.851555, , 
103526.000, 334585.600, 4.36, 4.721282, , 
110760.600, 334415.567, 4.46, 4.568125, , 
117926.600, 334397.367, 4.57, 4.426920, , 
126382.933, 334276.700, 4.66, 4.270256, , 
136616.167, 334331.867, 4.76, 4.095411, , 
147615.700, 334296.233, 4.86, 3.920904, , 
159216.700, 334414.033, 4.96, 3.751443, , 
171954.067, 334366.400, 5.06, 3.577926, , 
186855.467, 334328.267, 5.16, 3.390640, , 
200422.767, 334342.533, 5.26, 3.232995, , 
216724.500, 334379.400, 5.36, 3.057264, , 
233355.133, 334402.200, 5.46, 2.891032, , 
250059.400, 334531.467, 5.56, 2.736314, , 
267070.867, 334455.100, 5.66, 2.587686, , 
285903.400, 334509.067, 5.76, 2.434705, , 
305262.033, 334422.167, 5.86, 2.286679, , 
323246.000, 334325.933, 5.95, 2.157210, , 
340080.767, 334417.833, 6.05, 2.043575, , 
356216.133, 334409.267, 6.16, 1.939199, , 
374189.733, 334418.800, 6.25, 1.828485, , 
390960.933, 334493.367, 6.35, 1.730317, , 
405927.767, 334336.633, 6.46, 1.644719, , 
422023.667, 334344.067, 6.55, 1.557258, , 
436048.133, 334401.533, 6.65, 1.484075, , 
448803.267, 334369.800, 6.75, 1.418977, , 
463878.967, 334362.633, 6.85, 1.344577, , 
476596.800, 334438.000, 6.95, 1.284216, , 
488153.567, 334365.067, 7.05, 1.229807, , 
500158.033, 334367.333, 7.15, 1.175150, , 
512703.900, 334419.833, 7.25, 1.119750, , 
522576.000, 334427.767, 7.35, 1.076883, , 
529217.233, 334502.167, 7.45, 1.048964, , 
537643.200, 334430.633, 7.55, 1.012934, , 
545303.600, 334507.667, 7.65, 0.981614, , 
552505.533, 334369.500, 7.74, 0.951157, , 
558659.967, 334359.700, 7.85, 0.926162, , 
564485.100, 334486.533, 7.95, 0.903672, , 
571033.700, 334471.667, 8.04, 0.877615, , 
575954.033, 334533.167, 8.14, 0.858721, , 
582893.033, 334446.000, 8.24, 0.831183, , 
586161.967, 334413.667, 8.34, 0.818380, , 
590678.600, 334454.600, 8.44, 0.801382, , 
595045.167, 334378.967, 8.54, 0.784298, , 
599931.767, 334477.133, 8.64, 0.766553, , 
