FlowCell Text Data File: 39.2.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-18
Time: 14:40:51
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 860628
Source A Zero: 343375.2

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
695940.133, 334436.833, -0.50, 0.418632, , 
695979.333, 334500.767, -0.40, 0.418936, , 
695131.133, 334462.100, -0.30, 0.421420, , 
695025.133, 334501.933, -0.20, 0.422031, , 
246447.600, 334602.500, -0.10, 2.755956, , 
695025.133, 334501.933, 0.00, 0.422031, , 
246447.600, 334602.500, 0.10, 2.755956, , 
161409.300, 334601.700, 0.19, 3.708348, , 
161256.767, 334513.533, 0.29, 3.709883, , 
160987.667, 334522.833, 0.39, 3.713704, , 
160733.367, 334697.100, 0.49, 3.718434, , 
160159.767, 334623.133, 0.59, 3.725982, , 
159473.200, 334672.567, 0.69, 3.735982, , 
158273.433, 334482.033, 0.79, 3.751695, , 
156969.967, 334408.100, 0.89, 3.769808, , 
155801.300, 334363.767, 0.99, 3.786327, , 
154439.733, 334463.933, 1.09, 3.806755, , 
153167.767, 334432.667, 1.18, 3.825156, , 
151424.367, 334352.233, 1.28, 3.850376, , 
149385.033, 334396.400, 1.39, 3.881188, , 
147542.200, 334409.133, 1.48, 3.909208, , 
145369.267, 334461.800, 1.58, 3.942952, , 
143206.567, 334481.433, 1.68, 3.976816, , 
140645.167, 334519.733, 1.78, 4.017689, , 
138044.800, 334425.333, 1.88, 4.059051, , 
135368.933, 334438.333, 1.98, 4.103190, , 
132655.967, 334473.700, 2.08, 4.148988, , 
129996.533, 334366.767, 2.18, 4.193842, , 
127538.733, 334468.167, 2.28, 4.237480, , 
125154.300, 334507.633, 2.38, 4.280217, , 
122739.733, 334368.067, 2.48, 4.323120, , 
120548.800, 334442.833, 2.58, 4.364156, , 
118324.900, 334400.100, 2.68, 4.405773, , 
116608.333, 334352.800, 2.78, 4.438341, , 
115180.233, 334451.800, 2.88, 4.466739, , 
113953.100, 334380.233, 2.98, 4.490362, , 
113000.867, 334459.167, 3.07, 4.509778, , 
112646.033, 334429.000, 3.18, 4.516652, , 
112687.900, 334332.833, 3.27, 4.515169, , 
113048.100, 334374.467, 3.37, 4.508267, , 
114060.433, 334438.233, 3.47, 4.488634, , 
115631.500, 334490.500, 3.58, 4.458199, , 
117637.700, 334471.767, 3.67, 4.419363, , 
