FlowCell Text Data File: 85.2.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-15
Time: 15:12:09
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 869233
Source A Zero: 344722.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
665522.033, 335303.300, -0.49, 0.538609, , 
665398.633, 335213.800, -0.39, 0.538425, , 
665334.033, 335301.433, -0.30, 0.539232, , 
664996.267, 335391.100, -0.20, 0.540976, , 
399465.800, 335295.900, -0.10, 1.687279, , 
664996.267, 335391.100, 0.00, 0.540976, , 
399465.800, 335295.900, 0.10, 1.687279, , 
167114.367, 335270.933, 0.20, 3.648253, , 
167015.833, 335503.367, 0.29, 3.651140, , 
166886.033, 335460.033, 0.39, 3.652599, , 
166761.367, 335296.967, 0.50, 3.653187, , 
166592.633, 335400.733, 0.59, 3.656161, , 
166246.167, 335461.333, 0.69, 3.661253, , 
165501.900, 335398.933, 0.79, 3.670932, , 
164762.867, 335455.367, 0.89, 3.681382, , 
163742.367, 335312.900, 0.99, 3.694408, , 
162313.433, 335304.567, 1.09, 3.714077, , 
160884.733, 335256.833, 1.19, 3.733653, , 
158997.900, 335298.433, 1.29, 3.760481, , 
156610.700, 335421.133, 1.39, 3.795349, , 
153091.933, 335285.500, 1.49, 3.845579, , 
149104.567, 335358.033, 1.59, 3.905456, , 
144645.000, 335357.567, 1.69, 3.973788, , 
139757.033, 335329.100, 1.79, 4.050961, , 
135960.800, 335337.233, 1.89, 4.112990, , 
130799.600, 335323.067, 1.99, 4.199987, , 
125879.933, 335391.467, 2.08, 4.286723, , 
120320.300, 335237.167, 2.18, 4.387342, , 
114613.500, 335127.000, 2.29, 4.495955, , 
109769.567, 335235.067, 2.39, 4.593859, , 
104708.833, 335239.600, 2.48, 4.700110, , 
100064.100, 335163.367, 2.58, 4.801706, , 
96263.033, 335192.267, 2.68, 4.889052, , 
92169.500, 335077.233, 2.78, 4.986072, , 
88074.000, 335168.567, 2.88, 5.088972, , 
84603.767, 335295.133, 2.98, 5.180286, , 
81314.967, 335244.800, 3.08, 5.269175, , 
78688.433, 335236.533, 3.18, 5.343010, , 
76532.200, 335332.867, 3.28, 5.406184, , 
75103.067, 335295.333, 3.38, 5.448353, , 
73849.867, 335225.833, 3.48, 5.485755, , 
73163.133, 335122.500, 3.58, 5.506086, , 
72672.067, 335174.900, 3.68, 5.521594, , 
72716.267, 335169.133, 3.78, 5.520187, , 
73232.767, 335116.800, 3.87, 5.503907, , 
74310.867, 335101.433, 3.97, 5.470916, , 
75815.133, 335183.400, 4.08, 5.426366, , 
78290.433, 335220.800, 4.17, 5.354316, , 
81096.267, 335224.667, 4.28, 5.275101, , 
83908.933, 335252.300, 4.37, 5.198557, , 
88367.567, 335263.633, 4.47, 5.082122, , 
93313.133, 335393.367, 4.57, 4.960443, , 
98708.433, 335308.567, 4.67, 4.833378, , 
105923.967, 335291.100, 4.77, 4.674490, , 
113442.233, 335330.333, 4.87, 4.520436, , 
121848.600, 335229.567, 4.97, 4.358886, , 
132343.267, 335255.200, 5.07, 4.173128, , 
143639.300, 335283.533, 5.17, 3.988993, , 
155357.967, 335392.467, 5.27, 3.813230, , 
170600.667, 335241.633, 5.37, 3.601591, , 
185424.200, 335288.733, 5.46, 3.414400, , 
201097.800, 335294.967, 5.57, 3.231830, , 
217133.467, 335463.500, 5.67, 3.060305, , 
233733.600, 335609.300, 5.76, 2.895494, , 
251650.600, 335518.633, 5.86, 2.728670, , 
269846.067, 335513.900, 5.96, 2.571535, , 
289000.700, 335342.100, 6.06, 2.416053, , 
308066.800, 335217.467, 6.16, 2.271442, , 
326987.600, 335432.367, 6.26, 2.138746, , 
345141.133, 335288.667, 6.36, 2.016188, , 
364201.500, 335272.100, 6.46, 1.895107, , 
381520.167, 335317.933, 6.56, 1.790867, , 
400016.800, 335312.200, 6.66, 1.684287, , 
415002.433, 335365.767, 6.76, 1.601880, , 
431691.400, 335287.500, 6.86, 1.512628, , 
446822.367, 335313.500, 6.96, 1.435275, , 
455865.133, 335369.033, 7.06, 1.390558, , 
469674.300, 335272.867, 7.16, 1.322754, , 
480597.367, 335308.733, 7.25, 1.271256, , 
495229.267, 335303.833, 7.36, 1.203731, , 
505181.133, 335322.833, 7.46, 1.159083, , 
516935.733, 335424.233, 7.55, 1.108000, , 
525997.100, 335331.033, 7.65, 1.068268, , 
534611.133, 335294.333, 7.75, 1.031466, , 
542475.667, 335386.533, 7.85, 0.999220, , 
552754.933, 335424.867, 7.95, 0.957234, , 
559508.100, 335404.667, 8.05, 0.929770, , 
564135.233, 335231.567, 8.15, 0.910074, , 
572902.633, 335378.700, 8.25, 0.876356, , 
578074.967, 335245.733, 8.35, 0.855237, , 
583807.567, 335299.167, 8.45, 0.833389, , 
588303.733, 335131.033, 8.55, 0.814995, , 
592239.900, 335145.033, 8.65, 0.800082, , 
596322.133, 335233.567, 8.75, 0.785218, , 
601588.100, 335224.633, 8.85, 0.765372, , 
605203.167, 335218.867, 8.95, 0.751850, , 
608272.733, 335142.567, 9.05, 0.739953, , 
613610.500, 335157.400, 9.14, 0.720390, , 
616808.167, 335345.167, 9.25, 0.709954, , 
619481.667, 335183.900, 9.34, 0.699138, , 
621087.467, 335179.533, 9.44, 0.693283, , 
625407.333, 335297.867, 9.54, 0.678479, , 
627157.667, 335221.567, 9.64, 0.671677, , 
630169.433, 335289.300, 9.74, 0.661350, , 
633097.100, 335387.867, 9.84, 0.651581, , 
635165.467, 335232.400, 9.94, 0.643197, , 
638243.133, 335313.933, 10.04, 0.632866, , 
638839.500, 335168.800, 10.14, 0.629790, , 
640814.967, 335316.900, 10.24, 0.623836, , 
642092.300, 335264.767, 10.34, 0.619005, , 
643904.400, 335267.833, 10.44, 0.612683, , 
646303.433, 335274.667, 10.53, 0.604360, , 
647523.767, 335193.900, 10.64, 0.599573, , 
649082.800, 335022.700, 10.74, 0.593011, , 
651751.500, 335235.933, 10.83, 0.585210, , 
653626.633, 335233.800, 10.93, 0.578730, , 
655193.233, 335292.267, 11.04, 0.573735, , 
657124.967, 335314.800, 11.13, 0.567261, , 
658113.933, 335293.367, 11.23, 0.563733, , 
659560.067, 335321.533, 11.33, 0.558982, , 
662270.500, 335357.000, 11.43, 0.549991, , 
662302.467, 335121.100, 11.53, 0.548299, , 
663442.433, 335071.433, 11.63, 0.544095, , 
663681.900, 335032.833, 11.73, 0.543024, , 
666169.367, 335099.867, 11.83, 0.535055, , 
