FlowCell Text Data File: Rel606.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-10-20
Time: 15:43:57
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Sorvall/Thermo/Fisher
Rotor Model: TH-641
Speed: 35k rpm
Gradient: Sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 882574
Source A Zero: 330125.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
748870.533, 332024.433, -0.49, 0.382602, , 
748957.667, 332075.033, -0.39, 0.382683, , 
748474.567, 331980.333, -0.30, 0.383493, , 
748590.267, 331950.100, -0.20, 0.382940, , 
253662.200, 332066.367, -0.10, 2.819124, , 
748590.267, 331950.100, 0.00, 0.382940, , 
253662.200, 332066.367, 0.10, 2.819124, , 
146574.833, 331970.467, 0.18, 4.052764, , 
146721.567, 332034.667, 0.28, 4.050947, , 
146791.000, 332129.900, 0.37, 4.050528, , 
146550.333, 332209.933, 0.48, 4.054763, , 
146228.100, 332027.267, 0.58, 4.058479, , 
146033.833, 332150.833, 0.67, 4.062308, , 
145223.500, 332107.700, 0.77, 4.074538, , 
144792.600, 332115.167, 0.87, 4.081276, , 
144251.867, 332196.733, 0.97, 4.090248, , 
143766.467, 332120.733, 1.07, 4.097319, , 
142083.300, 332086.167, 1.17, 4.123587, , 
139323.633, 331960.533, 1.27, 4.166876, , 
135176.833, 332116.367, 1.37, 4.235931, , 
131426.100, 332145.033, 1.47, 4.299450, , 
128843.033, 332095.700, 1.57, 4.343787, , 
119349.600, 332087.767, 1.67, 4.515976, , 
113023.967, 332071.967, 1.77, 4.638421, , 
109537.933, 331983.400, 1.87, 4.708325, , 
105389.233, 331975.633, 1.97, 4.795163, , 
101536.133, 332034.033, 2.07, 4.879378, , 
97853.933, 332084.967, 2.16, 4.962851, , 
94728.467, 332002.333, 2.26, 5.035343, , 
92305.833, 332020.500, 2.36, 5.093769, , 
90497.100, 332006.700, 2.47, 5.138211, , 
89203.167, 332014.100, 2.56, 5.170670, , 
88263.900, 331918.700, 2.66, 5.193845, , 
88012.300, 331930.867, 2.76, 5.200351, , 
88147.100, 331921.567, 2.86, 5.196844, , 
88824.067, 331914.033, 2.96, 5.179576, , 
90203.733, 331947.667, 3.06, 5.145118, , 
92141.633, 332004.233, 3.16, 5.097666, , 
94902.267, 332025.967, 3.26, 5.031378, , 
98271.833, 332025.800, 3.36, 4.952860, , 
102272.633, 332075.033, 3.46, 4.863391, , 
106978.300, 332097.900, 3.56, 4.762312, , 
112459.533, 332105.167, 3.66, 4.649913, , 
118755.867, 332064.200, 3.75, 4.527040, , 
125348.567, 332079.267, 3.86, 4.405554, , 
132961.833, 332210.167, 3.96, 4.273747, , 
141004.500, 332060.867, 4.06, 4.140568, , 
150890.000, 332166.000, 4.15, 3.988793, , 
161357.733, 332084.767, 4.25, 3.837299, , 
172323.900, 331995.933, 4.36, 3.688727, , 
184766.400, 331888.500, 4.45, 3.531106, , 
197482.633, 331938.467, 4.55, 3.381659, , 
211832.500, 331999.967, 4.65, 3.224219, , 
227115.300, 332034.200, 4.75, 3.067681, , 
242490.100, 332061.300, 4.85, 2.920455, , 
259821.200, 331929.167, 4.95, 2.764205, , 
276934.600, 331896.267, 5.05, 2.620432, , 
294788.233, 331786.833, 5.15, 2.479092, , 
313136.133, 331893.400, 5.25, 2.343932, , 
332475.467, 332067.433, 5.35, 2.210247, , 
350941.700, 332104.233, 5.45, 2.088851, , 
369377.333, 332158.800, 5.54, 1.974002, , 
388152.667, 332020.300, 5.65, 1.861487, , 
406477.433, 331984.033, 5.75, 1.757429, , 
424962.200, 331929.067, 5.85, 1.656975, , 
443001.867, 331936.167, 5.94, 1.563465, , 
459886.000, 332083.733, 6.04, 1.480288, , 
476463.133, 331994.967, 6.15, 1.399995, , 
492656.800, 331888.700, 6.24, 1.324059, , 
506095.633, 332018.867, 6.34, 1.264376, , 
519947.800, 331998.400, 6.44, 1.203469, , 
532317.533, 332002.967, 6.54, 1.150588, , 
